valid_per_image_iou,valid_dataset_iou,epoch,step,train_per_image_iou,train_dataset_iou
0.8800842761993408,0.8920400142669678,0,206,,
,,0,206,0.8119603991508484,0.8158337473869324
0.8905594944953918,0.8992035984992981,1,413,,
,,1,413,0.8938738107681274,0.9043747186660767
0.8976992964744568,0.907647430896759,2,620,,
,,2,620,0.9101743698120117,0.9200792908668518
0.8891037702560425,0.8963136672973633,3,827,,
,,3,827,0.9181226491928101,0.9275444746017456
0.8969618678092957,0.9072989225387573,4,1034,,
,,4,1034,0.9170511960983276,0.9256253242492676
0.9022598266601562,0.9114397168159485,5,1241,,
,,5,1241,0.927498459815979,0.9365720748901367
