step	train_per_image_iou
2	0.8254207372665405
4	0.8958553075790405
6	0.9107847213745117
8	0.9201419949531555
10	0.9278085827827454
12	0.9311907887458801
14	0.93509441614151
16	0.9350449442863464
18	0.9386192560195923
20	0.9429625868797302
22	0.945999801158905
24	0.9484973549842834
