step	train_dataset_iou
2	0.8206645250320435
4	0.9072023630142212
6	0.9200590252876282
8	0.9233824610710144
10	0.9297329187393188
12	0.9359932541847229
14	0.9420567154884338
16	0.9463742971420288
18	0.9480158686637878
20	0.9505480527877808
22	0.9524409174919128
24	0.9546434879302979
26	0.9548320174217224
